subject_id,before_or_after,n_components,remove_ic,other
1,before,32,"0,1,3,4,5,6,7,9,12,13,14,17,20,24,26,27,28,29,30","4,12,17,25,29,30"
1,after,32,"0,1,2,6,8,9,10,12,13,14,16,17,22,23,24,25,26,28,29,31","25,26,28,29"
2,before,32,"0,1,2,3,8,9,10,11,13,14,16,18,24,25,28,30,31","12,16,17"
2,after,32,"0,1,3,4,5,7,8,9,10,11,12,14,15,16,26,29,30,31","5,8,11,14"
3,before,32,"0,2,6,8,9,10,11,12,17,20,21,22,25,26,27,28,30","3,14,16,18"
3,after,32,"0,3,4,5,6,9,10,12,14,17,18,19,20,21,22,23,24,26,29,30,31","16,27"
4,before,32,"0,1,2,3,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20,24,26,28,29,30","21,22"
4,after,32,"0,1,3,4,5,6,9,10,11,12,13,14,15,16,17,18,21,23,25,27,28,29,31",
5,before,32,"0,1,4,7,8,14,15,16,17,21,23,26,27,30,31",
5,after,32,"0,1,3,5,8,10,11,12,15,20,26,28,30,31",6
6,before,32,"1,5,7,9,10,12,17,18,23,24,27,29,30,31",
6,after,32,"0,2,4,6,7,8,11,12,14,16,17,18,23,27,28,29,30,31",
7,before,32,"0,2,3,5,7,8,9,10,11,12,13,14,16,17,19,23,24,26,27,28,29,30,31",
7,after,32,"0,1,2,4,5,7,8,9,12,14,15,16,18,21,22,23,24,26,28,29,30",
8,before,32,"0,4,6,8,15,17,18,20,21,22,25,27,28,29",
8,after,32,"0,1,2,3,5,6,12,23,26,27","17,18,20,25"
